Tablica	InsertionSort-Porownania	InsertionSort-Przestawienia	InsertionSort-Czas	InsertionSort-c/n	InsertionSort-s/n	MergeSort-Porownania	MergeSort-Przestawienia	MergeSort-Czas	MergeSort-c/n	MergeSort-s/n	QuickSort-Porownania	QuickSort-Przestawienia	QuickSort-Czas	QuickSort-c/n	QuickSort-s/n	Dual-pivotQuickSort-Porownania	Dual-pivotQuickSort-Przestawienia	Dual-pivotQuickSort-Czas	Dual-pivotQuickSort-c/n	Dual-pivotQuickSort-s/n	
1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	4	0	1	4
2	2	2	0	1	1	1	2	0	0	1	0	1	0	0	0	1	4	0	0	2
3	3	3	0	1	1	3	5	0	1	1	2	2	0	0	0	3	9	0	1	3
4	7	7	0	1	1	5	8	0	1	2	1	3	0	0	0	7	12	0	1	3
5	10	10	0	2	2	7	12	0	1	2	3	5	0	0	1	7	14	0	1	2
6	10	10	0	1	1	10	16	0	1	2	5	5	0	0	0	10	20	0	1	3
7	11	11	0	1	1	13	20	0	1	2	11	5	0	1	0	19	20	0	2	2
8	21	21	0	2	2	17	24	0	2	3	9	7	0	1	0	23	30	0	2	3
9	28	28	0	3	3	19	29	0	2	3	9	9	0	1	1	20	30	0	2	3
10	36	36	0	3	3	23	34	0	2	3	12	10	0	1	1	25	33	0	2	3
11	39	39	0	3	3	29	39	0	2	3	16	12	0	1	1	27	37	0	2	3
12	47	47	0	3	3	29	44	0	2	3	29	11	0	2	0	30	41	0	2	3
13	59	59	0	4	4	34	49	0	2	3	28	15	0	2	1	36	39	0	2	3
14	53	53	0	3	3	38	54	0	2	3	29	18	0	2	1	39	51	0	2	3
15	63	63	0	4	4	41	59	0	2	3	27	20	0	1	1	48	42	0	3	2
16	61	61	0	3	3	46	64	0	2	4	49	19	0	3	1	49	63	0	3	3
17	95	95	0	5	5	48	70	0	2	4	33	21	0	1	1	65	57	0	3	3
18	105	105	0	5	5	58	76	0	3	4	36	24	0	2	1	57	59	0	3	3
19	104	104	0	5	5	60	82	0	3	4	52	21	0	2	1	63	70	0	3	3
20	118	118	0	5	5	65	88	0	3	4	46	27	0	2	1	73	61	0	3	3
21	96	96	0	4	4	68	94	0	3	4	56	23	0	2	1	79	66	0	3	3
22	136	136	0	6	6	73	100	0	3	4	49	26	0	2	1	79	74	0	3	3
23	159	159	0	6	6	74	106	0	3	4	58	35	0	2	1	83	83	0	3	3
24	181	181	0	7	7	80	112	0	3	4	49	35	0	2	1	86	91	0	3	3
25	182	182	0	7	7	83	118	0	3	4	49	37	0	1	1	98	98	0	3	3
26	183	183	0	7	7	93	124	0	3	4	89	37	0	3	1	119	97	0	4	3
27	197	197	0	7	7	94	130	0	3	4	61	37	0	2	1	106	130	0	3	4
28	273	273	0	9	9	96	136	0	3	4	111	40	0	3	1	118	104	0	4	3
29	183	183	0	6	6	109	142	0	3	4	85	38	0	2	1	122	100	0	4	3
30	241	241	0	8	8	112	148	0	3	4	68	45	0	2	1	121	108	0	4	3
31	295	295	0	9	9	112	154	0	3	4	101	45	0	3	1	130	118	0	4	3
32	242	242	0	7	7	124	160	0	3	5	109	47	0	3	1	133	132	0	4	4
33	340	340	0	10	10	124	167	0	3	5	141	44	0	4	1	143	139	0	4	4
34	311	311	0	9	9	134	174	0	3	5	109	51	0	3	1	146	132	0	4	3
35	374	374	0	10	10	129	181	0	3	5	102	50	0	2	1	171	136	0	4	3
36	392	392	0	10	10	146	188	0	4	5	131	55	0	3	1	153	149	0	4	4
37	385	385	0	10	10	150	195	0	4	5	137	52	0	3	1	153	135	0	4	3
38	400	400	0	10	10	152	202	0	4	5	114	58	0	3	1	187	171	0	4	4
39	412	412	0	10	10	158	209	0	4	5	174	57	0	4	1	175	161	0	4	4
40	450	450	0	11	11	168	216	0	4	5	140	61	0	3	1	170	160	0	4	4
41	477	477	0	11	11	174	223	0	4	5	98	64	0	2	1	197	155	0	4	3
42	447	447	0	10	10	168	230	0	4	5	200	61	0	4	1	197	163	0	4	3
43	509	509	0	11	11	185	237	0	4	5	193	65	0	4	1	215	186	0	5	4
44	531	531	0	12	12	183	244	0	4	5	140	66	0	3	1	191	194	0	4	4
45	465	465	0	10	10	193	251	0	4	5	161	66	0	3	1	198	171	0	4	3
46	601	601	0	13	13	194	258	0	4	5	142	71	0	3	1	250	171	0	5	3
47	635	635	0	13	13	203	265	0	4	5	204	76	0	4	1	221	201	0	4	4
48	524	524	0	10	10	212	272	0	4	5	131	75	0	2	1	215	184	0	4	3
49	669	669	0	13	13	217	279	0	4	5	165	76	0	3	1	233	192	0	4	3
50	607	607	0	12	12	227	286	0	4	5	297	75	0	5	1	270	212	0	5	4
51	747	747	0	14	14	228	293	0	4	5	240	76	0	4	1	239	209	0	4	4
52	770	770	0	14	14	237	300	0	4	5	261	79	0	5	1	269	234	0	5	4
53	795	795	0	15	15	246	307	0	4	5	221	85	0	4	1	272	214	0	5	4
54	856	856	0	15	15	240	314	0	4	5	166	92	0	3	1	266	217	0	4	4
55	874	874	0	15	15	247	321	0	4	5	175	92	0	3	1	323	258	0	5	4
56	816	816	0	14	14	264	328	0	4	5	247	89	0	4	1	287	218	0	5	3
57	702	702	0	12	12	265	335	0	4	5	299	87	0	5	1	317	227	0	5	3
58	880	880	0	15	15	273	342	0	4	5	223	91	0	3	1	278	237	0	4	4
59	910	910	0	15	15	277	349	0	4	5	174	108	0	2	1	275	262	0	4	4
60	921	921	0	15	15	266	356	0	4	5	204	97	0	3	1	349	261	0	5	4
61	951	951	0	15	15	289	363	0	4	5	235	100	0	3	1	409	258	0	6	4
62	1012	1012	0	16	16	298	370	0	4	5	275	99	0	4	1	378	291	0	6	4
63	1165	1165	0	18	18	298	377	0	4	5	284	101	0	4	1	344	269	0	5	4
64	1114	1114	0	17	17	305	384	0	4	6	301	99	0	4	1	355	302	0	5	4
65	1153	1153	0	17	17	315	392	0	4	6	307	103	0	4	1	432	339	0	6	5
66	1057	1057	0.016	16	16	316	400	0	4	6	294	104	0	4	1	333	272	0	5	4
67	1082	1082	0	16	16	329	408	0	4	6	250	118	0	3	1	384	327	0	5	4
68	1169	1169	0	17	17	332	416	0	4	6	248	119	0	3	1	407	284	0	5	4
69	1143	1143	0	16	16	334	424	0	4	6	284	117	0	4	1	385	306	0	5	4
70	1346	1346	0	19	19	341	432	0	4	6	373	116	0	5	1	410	291	0	5	4
71	1451	1451	0	20	20	343	440	0	4	6	271	116	0	3	1	458	322	0	6	4
72	1368	1368	0	19	19	360	448	0	5	6	360	116	0	5	1	363	301	0	5	4
73	1326	1326	0	18	18	367	456	0	5	6	332	126	0	4	1	455	351	0	6	4
