Tablica	InsertionSort-Porownania	InsertionSort-Przestawienia	InsertionSort-Czas	InsertionSort-c/n	InsertionSort-s/n	MergeSort-Porownania	MergeSort-Przestawienia	MergeSort-Czas	MergeSort-c/n	MergeSort-s/n	QuickSort-Porownania	QuickSort-Przestawienia	QuickSort-Czas	QuickSort-c/n	QuickSort-s/n	Dual-pivotQuickSort-Porownania	Dual-pivotQuickSort-Przestawienia	Dual-pivotQuickSort-Czas	Dual-pivotQuickSort-c/n	Dual-pivotQuickSort-s/n	Hybrid-Porownania	Hybrid-Przestawienia	Hybrid-Czas	Hybrid-c/n	Hybrid-s/n
1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	4	0	1	4	0	0	0	0	0
2	1	1	0	0	0	1	2	0	0	1	1	1	0	0	0	1	4	0	0	2	1	4	0	0	2
3	4	4	0	1	1	2	5	0	0	1	1	2	0	0	0	4	8	0	1	2	2	5	0	0	1
4	8	8	0	2	2	4	8	0	1	2	3	3	0	0	0	7	13	0	1	3	3	6	0	0	1
5	10	10	0	2	2	7	12	0	1	2	6	4	0	1	0	9	17	0	1	3	5	8	0	1	1
6	15	15	0	2	2	9	16	0	1	2	9	5	0	1	0	12	12	0	2	2	6	9	0	1	1
7	14	14	0	2	2	13	20	0	1	2	8	5	0	1	0	14	20	0	2	2	8	11	0	1	1
8	25	25	0	3	3	16	24	0	2	3	17	7	0	2	0	19	23	0	2	2	11	15	0	1	1
9	15	15	0	1	1	18	29	0	2	3	15	8	0	1	0	23	27	0	2	3	13	16	0	1	1
10	25	25	0	2	2	18	34	0	1	3	23	10	0	2	1	26	30	0	2	3	12	19	0	1	1
11	31	31	0	2	2	27	39	0	2	3	20	9	0	1	0	28	30	0	2	2	21	20	0	1	1
12	46	46	0	3	3	31	44	0	2	3	22	13	0	1	1	36	36	0	3	3	27	23	0	2	1
13	39	39	0	3	3	37	49	0	2	3	27	16	0	2	1	44	48	0	3	3	33	22	0	2	1
14	68	68	0	4	4	36	54	0	2	3	34	15	0	2	1	45	45	0	3	3	28	28	0	2	2
15	72	72	0	4	4	43	59	0	2	3	28	18	0	1	1	49	45	0	3	3	34	30	0	2	2
16	68	68	0	4	4	48	64	0	3	4	52	20	0	3	1	51	63	0	3	3	37	31	0	2	1
17	94	94	0	5	5	51	70	0	3	4	32	23	0	1	1	54	66	0	3	3	42	35	0	2	2
18	101	101	0	5	5	57	76	0	3	4	37	25	0	2	1	59	56	0	3	3	49	34	0	2	1
19	88	88	0	4	4	61	82	0	3	4	56	23	0	2	1	69	66	0	3	3	51	37	0	2	1
20	81	81	0	4	4	63	88	0	3	4	57	23	0	2	1	63	68	0	3	3	57	41	0	2	2
21	125	125	0	5	5	69	94	0	3	4	52	28	0	2	1	69	71	0	3	3	53	41	0	2	1
22	148	148	0	6	6	77	100	0	3	4	46	32	0	2	1	79	71	0	3	3	55	44	0	2	2
23	151	151	0	6	6	77	106	0	3	4	56	29	0	2	1	87	78	0	3	3	63	51	0	2	2
24	153	153	0	6	6	84	112	0	3	4	57	32	0	2	1	90	81	0	3	3	65	53	0	2	2
25	212	212	0	8	8	90	118	0	3	4	103	33	0	4	1	101	85	0	4	3	79	52	0	3	2
26	166	166	0	6	6	89	124	0	3	4	82	38	0	3	1	120	107	0	4	4	113	54	0	4	2
27	185	185	0	6	6	95	130	0	3	4	79	35	0	2	1	106	115	0	3	4	74	62	0	2	2
28	216	216	0	7	7	100	136	0	3	4	78	42	0	2	1	104	118	0	3	4	81	61	0	2	2
29	268	268	0	9	9	108	142	0	3	4	67	44	0	2	1	119	103	0	4	3	98	62	0	3	2
30	215	215	0	7	7	114	148	0	3	4	75	42	0	2	1	119	123	0	3	4	107	62	0	3	2
31	228	228	0	7	7	114	154	0	3	4	90	46	0	2	1	134	123	0	4	3	111	67	0	3	2
32	267	267	0	8	8	125	160	0	3	5	86	42	0	2	1	141	140	0	4	4	108	72	0	3	2
33	279	279	0	8	8	129	167	0	3	5	140	45	0	4	1	139	130	0	4	3	88	74	0	2	2
34	262	262	0	7	7	128	174	0	3	5	127	50	0	3	1	141	137	0	4	4	106	75	0	3	2
35	328	328	0	9	9	132	181	0	3	5	152	49	0	4	1	139	137	0	3	3	123	76	0	3	2
36	290	290	0	8	8	142	188	0	3	5	108	53	0	3	1	157	129	0	4	3	120	81	0	3	2
37	307	307	0	8	8	148	195	0	4	5	106	56	0	2	1	175	143	0	4	3	137	81	0	3	2
38	397	397	0	10	10	158	202	0	4	5	101	59	0	2	1	177	167	0	4	4	129	87	0	3	2
39	381	381	0	9	9	157	209	0	4	5	123	58	0	3	1	179	140	0	4	3	132	90	0	3	2
40	450	450	0	11	11	156	216	0	3	5	117	63	0	2	1	167	169	0	4	4	135	91	0	3	2
41	491	491	0	11	11	170	223	0	4	5	111	60	0	2	1	181	171	0	4	4	116	98	0	2	2
42	467	467	0	11	11	178	230	0	4	5	133	66	0	3	1	196	195	0	4	4	160	96	0	3	2
43	508	508	0	11	11	185	237	0	4	5	155	61	0	3	1	187	159	0	4	3	140	104	0	3	2
44	537	537	0	12	12	189	244	0	4	5	140	65	0	3	1	213	191	0	4	4	144	105	0	3	2
45	465	465	0	10	10	192	251	0	4	5	111	71	0	2	1	274	168	0	6	3	143	105	0	3	2
46	496	496	0	10	10	205	258	0	4	5	160	72	0	3	1	242	166	0	5	3	156	107	0	3	2
47	595	595	0	12	12	204	265	0	4	5	184	72	0	3	1	217	202	0	4	4	140	114	0	2	2
48	588	588	0	12	12	216	272	0	4	5	192	75	0	4	1	237	188	0	4	3	147	110	0.016	3	2
49	602	602	0	12	12	219	279	0	4	5	155	80	0	3	1	228	220	0	4	4	170	120	0	3	2
50	723	723	0	14	14	218	286	0	4	5	211	79	0	4	1	252	207	0	5	4	187	121	0	3	2
51	746	746	0	14	14	227	293	0	4	5	189	81	0	3	1	254	203	0	4	3	189	120	0	3	2
52	636	636	0	12	12	237	300	0	4	5	217	87	0	4	1	270	197	0	5	3	204	121	0	3	2
53	718	718	0	13	13	240	307	0	4	5	176	87	0	3	1	252	185	0	4	3	186	127	0	3	2
54	738	738	0	13	13	243	314	0	4	5	199	91	0	3	1	269	224	0	4	4	198	126	0	3	2
55	690	690	0	12	12	252	321	0	4	5	198	86	0	3	1	287	190	0	5	3	215	129	0	3	2
56	846	846	0	15	15	259	328	0	4	5	226	91	0	4	1	314	230	0	5	4	219	136	0	3	2
57	894	894	0	15	15	262	335	0	4	5	177	94	0	3	1	285	253	0	5	4	193	140	0	3	2
58	864	864	0	14	14	268	342	0	4	5	273	88	0	4	1	337	287	0	5	4	218	139	0	3	2
59	904	904	0	15	15	275	349	0	4	5	217	95	0	3	1	288	217	0	4	3	217	138	0	3	2
60	996	996	0	16	16	279	356	0	4	5	242	97	0	4	1	346	245	0	5	4	250	144	0	4	2
61	1090	1090	0	17	17	284	363	0	4	5	207	108	0	3	1	343	289	0	5	4	231	146	0	3	2
62	1262	1262	0	20	20	293	370	0	4	5	172	110	0	2	1	375	247	0	6	3	197	159	0	3	2
63	1019	1019	0	16	16	303	377	0	4	5	250	100	0	3	1	344	273	0	5	4	258	145	0	4	2
64	1077	1077	0	16	16	307	384	0	4	6	231	113	0	3	1	321	279	0	5	4	270	155	0	4	2
65	1116	1116	0	17	17	314	392	0	4	6	393	107	0	6	1	355	297	0	5	4	241	157	0	3	2
