Tablica	MergeSort-Porownania	MergeSort-Przestawienia	MergeSort-Czas	MergeSort-c/n	MergeSort-s/n	QuickSort-Porownania	QuickSort-Przestawienia	QuickSort-Czas	QuickSort-c/n	QuickSort-s/n	Dual-pivotQuickSort-Porownania	Dual-pivotQuickSort-Przestawienia	Dual-pivotQuickSort-Czas	Dual-pivotQuickSort-c/n	Dual-pivotQuickSort-s/n	Hybrid-Porownania	Hybrid-Przestawienia	Hybrid-Czas	Hybrid-c/n	Hybrid-s/n
100	541	672	0.001	5	6	383	185	0	3	1	593	452	0	5	4	383	185	0	3	1
200	1272	1544	0	6	7	1083	423	0	5	2	1541	1197	0	7	5	1083	423	0	5	2
300	2090	2488	0	6	8	1806	656	0	6	2	2323	1543	0	7	5	1806	656	0	6	2
400	2964	3488	0	7	8	2397	916	0	5	2	3546	2287	0	8	5	2397	916	0	5	2
500	3850	4488	0	7	8	3335	1158	0	6	2	4802	3354	0.015	9	6	3335	1158	0.001	6	2
600	4794	5576	0	7	9	4432	1472	0	7	2	5419	3355	0	9	5	4432	1472	0	7	2
700	5756	6676	0	8	9	5145	1717	0	7	2	6571	4259	0	9	6	5145	1717	0.016	7	2
800	6747	7776	0.001	8	9	5577	2023	0	6	2	7673	5137	0	9	6	5577	2023	0.007	6	2
900	7700	8876	0.001	8	9	7183	2257	0	7	2	9546	5914	0	10	6	7183	2257	0	7	2
1000	8692	9976	0	8	9	8954	2556	0.016	8	2	9994	6409	0.003	9	6	8954	2556	0	8	2
1100	9762	11152	0	8	10	8018	2914	0	7	2	11600	7486	0	10	6	8018	2914	0.016	7	2
1200	10817	12352	0.001	9	10	10699	3114	0	8	2	12492	7200	0	10	6	10699	3114	0	8	2
1300	11825	13552	0.021	9	10	10462	3484	0.001	8	2	13958	8411	0	10	6	10467	3505	0	8	2
1400	12899	14752	0	9	10	10473	3814	0.017	7	2	15288	10037	0	10	7	10473	3814	0	7	2
1500	13959	15952	0	9	10	12422	4084	0.016	8	2	15661	9742	0	10	6	12422	4084	0	8	2
1600	15037	17152	0.017	9	10	12753	4404	0.001	7	2	16719	10533	0	10	6	12753	4404	0	7	2
