Tablica	Insertion Sort Porownania	Insertion Sort Przestawienia	Insertion Sort Czas	Insertion Sort c/n	Insertion Sort s/n	Merge Sort Porownania	Merge Sort Przestawienia	Merge Sort Czas	Merge Sort c/n	Czas	Merge Sort s/n	Quick Sort Porownania	Quick Sort Przestawienia	Quick Sort Czas	Quick Sort c/n	Czas	Quick Sort s/n	Dual-pivot Quick Sort Porownania	Dual-pivot Quick Sort Przestawienia	Dual-pivot Quick Sort Czas	Dual-pivot Quick Sort c/n	Dual-pivot Quick Sort s/n
100	4950	2619	0.25	49	26
200	19900	9984	0.922	99	49
300	44850	22882	2.109	149	76
400	79800	40125	3.321	199	100
500	124750	64275	4.438	249	128
600	179700	91411	6.417	299	152
700	244650	123739	8.736	349	176
800	319600	157113	10.907	399	196
900	404550	198704	14.711	449	220
1000	499500	246025	17.169	499	246
1100	604450	308712	23.819	549	280
1200	719400	361046	28.103	599	300
1300	844350	416187	33.153	649	320
1400	979300	494764	40.053	699	353
1500	1124250	566239	48.415	749	377
1600	1279200	625868	54.815	799	391
1700	1444150	706250	60.767	849	415
1800	1619100	820431	68.196	899	455
1900	1804050	895197	77.668	949	471
2000	1999000	1012027	86.577	999	506
2100	2203950	1092339	99.627	1049	520
2200	2418900	1224890	102.891	1099	556
2300	2643850	1301342	115.776	1149	565
2400	2878800	1402936	125.064	1199	584
2500	3123750	1556327	131.732	1249	622
2600	3378700	1685102	147.067	1299	648
2700	3643650	1825788	151.793	1349	676
2800	3918600	1986536	167.353	1399	709
2900	4203550	2074949	181.184	1449	715
3000	4498500	2224645	193.592	1499	741
3100	4803450	2386827	206.907	1549	769
3200	5118400	2555072	221.645	1599	798
3300	5443350	2735613	235.046	1649	828
3400	5778300	2860493	242.36	1699	841
3500	6123250	3088692	262.889	1749	882
3600	6478200	3227128	276.117	1799	896
3700	6843150	3477375	298.23	1849	939
