Tablica	Insertion Sort Porownania	Insertion Sort Przestawienia	Insertion Sort Czas	Insertion Sort c/n	Insertion Sort s/n	Merge Sort Porownania	Merge Sort Przestawienia	Merge Sort Czas	Merge Sort c/n	Merge Sort s/n	Quick Sort Porownania	Quick Sort Przestawienia	Quick Sort Czas	Quick Sort c/n	Quick Sort s/n	Dual-pivot Quick Sort Porownania	Dual-pivot Quick Sort Przestawienia	Dual-pivot Quick Sort Czas	Dual-pivot Quick Sort c/n	Dual-pivot Quick Sort s/n
100	4950	2195	0,26	49	21	5484	3539	0,07	54,00	35,00	5883,00	3722,00	0,02	58,00	37,00	6517,00	4217,00	0,07	65,00	42,00
200	26417	13774	1,00	132	68	27692	16862	0,15	138,00	84,00	28938,00	17266,00	0,06	144,00	86,00	30330,00	18207,00	0,14	151,00	91,00
300	75180	41647	2,46	250	138	77263	46623	0,22	257,00	155,00	79030,00	47283,00	0,07	263,00	157,00	81410,00	49003,00	0,23	271,00	163,00
400	161210	87949	4,07	403	219	164171	94925	0,31	410,00	237,00	166519,00	95828,00	0,09	416,00	239,00	169920,00	98138,00	0,33	424,00	245,00
500	294670	160697	5,70	589	321	298515	169673	0,40	597,00	339,00	303224,00	170815,00	0,18	606,00	341,00	307655,00	173772,00	0,44	615,00	347,00
600	487355	260855	7,70	812	434	492126	272007	0,38	820,00	453,00	496006,00	273434,00	0,13	826,00	455,00	501883,00	277016,00	0,50	836,00	461,00
700	746533	401304	9,59	1066	573	752274	414656	0,44	1074,00	592,00	758086,00	416364,00	0,18	1082,00	594,00	764778,00	420631,00	0,57	1092,00	600,00
800	1084378	575821	12,48	1355	719	1091079	591373	0,53	1363,00	739,00	1097532,00	593359,00	0,20	1371,00	741,00	1105774,00	598313,00	0,67	1382,00	747,00
900	1510324	806816	15,68	1678	896	1518052	824568	0,66	1686,00	916,00	1524252,00	826881,00	0,22	1693,00	918,00	1533118,00	832748,00	0,78	1703,00	925,00
1000	2032618	1081501	19,38	2032	1081	2041326	1101453	0,73	2041,00	1101,00	2050697,00	1104010,00	0,30	2050,00	1104,00	2061452,00	1110823,00	0,94	2061,00	1110,00
1100	2665902	1402425	23,17	2423	1274	2675651	1424729	0,84	2432,00	1295,00	2683828,00	1427609,00	0,28	2439,00	1297,00	2694778,00	1435252,00	1,03	2449,00	1304,00
1200	3414178	1805134	32,46	2845	1504	3424983	1829838	1,15	2854,00	1524,00	3433598,00	1833070,00	0,37	2861,00	1527,00	3446414,00	1841244,00	1,24	2872,00	1534,00
1300	4290764	2260097	39,79	3300	1738	4302587	2287201	1,23	3309,00	1759,00	4314118,00	2290743,00	0,48	3318,00	1762,00	4328799,00	2300703,00	1,49	3329,00	1769,00
1400	5308099	2793565	46,25	3791	1995	5320948	2823069	1,34	3800,00	2016,00	5332008,00	2826848,00	0,46	3808,00	2019,00	5347192,00	2835586,00	1,40	3819,00	2025,00
1500	6471442	3381334	51,74	4314	2254	6485372	3413238	1,46	4323,00	2275,00	6496613,00	3417344,00	0,50	4331,00	2278,00	6513008,00	3427123,00	1,55	4342,00	2284,00
1600	7792208	4067804	61,16	4870	2542	7807275	4102108	1,56	4879,00	2563,00	7819382,00	4106546,00	0,52	4887,00	2566,00	7837483,00	4117905,00	1,74	4898,00	2573,00
1700	9281633	4825411	67,86	5459	2838	9297765	4862115	1,61	5469,00	2860,00	9313073,00	4866824,00	0,60	5478,00	2862,00	9332225,00	4878812,00	1,83	5489,00	2869,00
1800	10951325	5693531	74,42	6084	3163	10968538	5732635	1,72	6093,00	3184,00	10982710,00	5737679,00	0,59	6101,00	3187,00	11003869,00	5748662,00	1,85	6113,00	3193,00
1900	12807919	6630309	81,78	6741	3489	12826210	6671813	1,83	6750,00	3511,00	12842535,00	6677086,00	0,67	6759,00	3514,00	12863557,00	6690385,00	1,97	6770,00	3521,00
2000	14862557	7677616	90,79	7431	3838	14881945	7721520	1,92	7440,00	3860,00	14897890,00	7727190,00	0,67	7448,00	3863,00	14920174,00	7740664,00	2,06	7460,00	3870,00
2100	17124124	8852459	100,89	8154	4215	17144669	8898867	1,97	8164,00	4237,00	17161428,00	8904904,00	0,70	8172,00	4240,00	17186260,00	8921322,00	2,38	8183,00	4248,00
2200	19605160	10154217	110,72	8911	4615	19626829	10203225	2,05	8921,00	4637,00	19647007,00	10209529,00	0,78	8930,00	4640,00	19672567,00	10224658,00	2,24	8942,00	4647,00
